Todo,Difficulty,Type,Category,Rating,Political,Bit idea,Expanded Concept,Programmatic / Tech Steps,Notes / Risks,Outline Dialog/Steps,Assets Needed
,Easy,Line,Music,G,No,When advertising about merch have a skip ad button in the corner,"One-liner: When advertising about merch have a skip ad button in the corner. Fire it as a quick hit between bits; flash a caption or stinger on the face to sell the beat, then keep moving.","Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting.",Delivery-only; adjust to room temperature on the fly.,"1) Setup line delivers the premise (SCREEN: neutral face). 2) Punchline - land it, don't step on it. 3) Optional: flash caption of the punchline (SCREEN: lower-third) (LAUGH BREAK). 4) Move on.",Backing track (custom/licensed); lyric overlay template; bouncing-ball animation; song lighting macro; final sting SFX.
,Hard,Line,Music,G,No,Parody song if you know the words scream along,"One-liner: Parody song if you know the words scream along. Fire it as a quick hit between bits; flash a caption or stinger on the face to sell the beat, then keep moving.","Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting.",Delivery-only; adjust to room temperature on the fly.,"1) Setup line delivers the premise (SCREEN: neutral face). 2) Punchline - land it, don't step on it. 3) Optional: flash caption of the punchline (SCREEN: lower-third) (LAUGH BREAK). 4) Move on.",Backing track (custom/licensed); lyric overlay template; bouncing-ball animation; song lighting macro; final sting SFX.
,Mid,Bit,Sketch,PG,No,"Talk to people in heaven and hell, like John Rockefeller in heaven and hitler in hell","Full bit: Talk to people in heaven and hell, like John Rockefeller in heaven and hitler in hell. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.","Hitler/antisemitism material: highest walk-out risk in the file; only survives as a clearly condemned punchline - know the room, maybe know the lawyer.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,SciFi,G,No,Play space invaders with HC crabbing back and forth as the shooter and the invaders on the back screen,"Full bit: Play space invaders with HC crabbing back and forth as the shooter and the invaders on the back screen. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app. + Action-loop preset: rear screens run the attack/game clip, head shows game HUD; choreograph safe directions, nothing real gets fired.","Gun material: keep it cartoonish, zero realistic mimicry; venues and insurers are touchy. IP/likeness caution: parody hard, don't clone names/voices/logos verbatim; pre-cleared or self-made assets only.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Zombie/attack loop clip (green-screen elements); game-HUD overlay; hit SFX; direction choreography note. Space/cockpit background plates; abduction beam clip; sci-fi SFX pack.
,Easy,Gag,Music,G,No,Say something smartalec then turn the filter on/ adjust it,"Quick gag: Say something smartalec then turn the filter on/ adjust it. Plays fast - the button fires the visual, the reaction shot lands it, move on.","Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting. + Face-filter stack: each filter on its own app button, cycle order rehearsed; camera-tracked filters need good front-light on the head.",One beat maximum - gags die when they linger.,"1) Silent setup - just look at the crowd (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",Face-filter pack (list per bit); head-tracking calibration; front-light note.
,Mid,Bit,Sketch,G,No,Do a jeaordy thing on screen  I’ll take shit that never happened,"Developed bit: Jeaordy thing on screen I’ll take shit that never happened. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Easy,Gag,Visual,G,No,Hovering bees and insects would be funny,"Quick gag: Hovering bees and insects would be funny. Plays fast - the button fires the visual, the reaction shot lands it, move on.",One app button fires the visual + SFX together; keep a neutral-face reset button next to it.,"IP/likeness caution: parody hard, don't clone names/voices/logos verbatim; pre-cleared or self-made assets only.","1) Silent setup - just look at the crowd (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",Animated bug overlay (loops around head); swat/zip SFX.
,Mid,Bit,Tech-Call,G,No,Answer the ring doorbell,"Full bit: Answer the ring doorbell. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Fake-call UI overlay (FaceTime/Zoom style): ringtone SFX, answer/decline buttons, pre-recorded caller clips cut as clean answers on their own buttons.","IP/likeness caution: parody hard, don't clone names/voices/logos verbatim; pre-cleared or self-made assets only.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.","Fake-call UI overlay (PSD); ringtone SFX; 3-5 pre-recorded caller clips (15-30s each, cut as clean answers); FaceTime-style UI soundbed."
,Mid,Bit,Music,G,No,Play would you rather complete with full screen graphic when given a choice by a character during a discussion,"Developed bit: Play would you rather complete with full screen graphic when given a choice by a character during a discussion. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app. + Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting.","IP/likeness caution: parody hard, don't clone names/voices/logos verbatim; pre-cleared or self-made assets only.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,SciFi,G,No,Do an air traffic controller bit talking over the radio to planes,"Set piece: Air traffic controller bit talking over the radio to planes. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,No,Do a who’s in first thing like roger roger over over shirley,"Developed bit: Who’s in first thing like roger roger over over shirley. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Audience,G,No,"With an audience member and the backdrop , do a be silent or cover your eyes scene","Full bit: With an audience member and the backdrop , do a be silent or cover your eyes scene. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Audience-cam pass-through to head/rear screens; rehearse crop/freeze on a stand-in, keep latency under ~200ms.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Tech-Call,G,No,Have a conversation with Alexa where she keeps misunderstanding me,"Set piece: Have a conversation with Alexa where she keeps misunderstanding me. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Voice-assistant gag: trigger phrase fires pre-recorded deadpan answer clip + listening-dots UI on the face; wrong-answer timing is rehearsed, not ad-libbed.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Pre-recorded deadpan assistant answer clips; listening-dots UI animation; trigger-phrase SFX.
,Mid,Bit,Politics,G,No,‘Jump the gun’ news  Report something immediately followed by a correction,"Full bit: ‘Jump the gun’ news Report something immediately followed by a correction. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Breaking-news package: urgent sting, lower-thirds, ticker on rear screens; head anchors with suit graphic. Abort button restores normal face.","Gun material: keep it cartoonish, zero realistic mimicry; venues and insurers are touchy.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",News sting SFX; lower-third template pack; ticker graphic; anchor-suit face card; ABORT card.
,Mid,Bit,Music,G,No,"Do a ventriloquist act where I drink water, breathe fire, then poke finger in throat and vomit all while piper sings opera","Set piece: Ventriloquist act where I drink water, breathe fire, then poke finger in throat and vomit all while piper sings opera. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Backing track (custom/licensed); lyric overlay template; bouncing-ball animation; song lighting macro; final sting SFX. Goo/slime overlay animation; splat SFX; cleanup note for real props.
,Mid,Bit,Sketch,G,No,"Do a knock knock joke with a door, and then open the door at The Who’s there part","Developed bit: Knock knock joke with a door, and then open the door at The Who’s there part. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,SciFi,G,No,Do a weather report from St. Louis out on the street where the weather keeps changing from hot and sunny to snowing to rainy,"Set piece: Weather report from St. Louis out on the street where the weather keeps changing from hot and sunny to snowing to rainy. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Easy,Gag,Music,G,No,Need a funny birthday song maybe ends with a skeleton face and then you die first would start off with the happy clown face and balloons,"Sight gag: Need a funny birthday song maybe ends with a skeleton face and then you die first would start off with the happy clown face and balloons. Plays fast - the button fires the visual, the reaction shot lands it, move on.","Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting. + X-ray/skeleton filter on the head; snap-on with a scanner SFX, one beat, off.",One beat maximum - gags die when they linger.,"1) Quick setup line (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",Backing track (custom/licensed); lyric overlay template; bouncing-ball animation; song lighting macro; final sting SFX. X-ray/skeleton face filter; scanner SFX. Holiday graphic pack; themed music cue; balloon/party SFX.
,Easy,Gag,Politics,G,y,Trump vs Sanders USA vs USSA cheer,"Quick gag: Trump vs Sanders USA vs USSA cheer. Plays fast - the button fires the visual, the reaction shot lands it, move on.","Character-voice preset: distorted face + edited VO clips on buttons; keep it punchline-forward, never a lecture.",Political likeness: punchlines must be bipartisan or self-deprecating; venues book the room they want back.,"1) Silent setup - just look at the crowd (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",Character-voice preset (face distortion); edited VO clip buttons; punchline-first script.
,Easy,Gag,Visual,G,y,Look it up in the negative dictionary Comedy is not racism,"Button gag: Look it up in the negative dictionary Comedy is not racism. Plays fast - the button fires the visual, the reaction shot lands it, move on.",One app button fires the visual + SFX together; keep a neutral-face reset button next to it.,"Race material: high walk-out risk; target the flawed logic, not people; test in friendly rooms before headlining venues.","1) Quick setup line (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",1 visual card/PNG or short clip + 1 SFX; bound to a single button.
,Mid,Bit,Sketch,G,y,"Ban Jenny joomer , then have her say no, I need to buy food,  Then say so do anorexics in hell, correct to fat people with comeback do over","Developed bit: Ban Jenny joomer , then have her say no, I need to buy food, Then say so do anorexics in hell, correct to fat people with comeback do over. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Burn preset: thug-life sticker/grade + 'ohhh' sting SFX on one button; fire once, then back to material.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Thug-life sticker pack; 'ohhh' sting SFX; auto-reset burn preset.
,Mid,Bit,Sketch,G,No,"Do a parody band Kiss Face,","Developed bit: Parody band Kiss Face,. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.","IP/likeness caution: parody hard, don't clone names/voices/logos verbatim; pre-cleared or self-made assets only.","1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Politics,G,No,"Accidentally do Freaking News, then F’n news","Full bit: Accidentally do Freaking News, then F’n news. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Breaking-news package: urgent sting, lower-thirds, ticker on rear screens; head anchors with suit graphic. Abort button restores normal face.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",News sting SFX; lower-third template pack; ticker graphic; anchor-suit face card; ABORT card.
,Mid,Bit,Commercial,G,No,Have all of the sudden Js voice come over saying Dad we need you in a squad... then voice keeps giving instructions,"Set piece: Have all of the sudden Js voice come over saying Dad we need you in a squad... then voice keeps giving instructions. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Easy,Gag,Visual,G,No,"Let me check my schedule...  has dog petting , play, etc","Quick gag: Let me check my schedule... has dog petting , play, etc. Plays fast - the button fires the visual, the reaction shot lands it, move on.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app.",One beat maximum - gags die when they linger.,"1) Silent setup - just look at the crowd (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",1 visual card/PNG or short clip + 1 SFX; bound to a single button.
,Mid,Bit,Commercial,G,No,Head xray,"Set piece: Head xray. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","X-ray/skeleton filter on the head; snap-on with a scanner SFX, one beat, off.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",X-ray/skeleton face filter; scanner SFX.
,Easy,Heckler,Callback,PG,No,"If a person gives a dirty suggestion, take a pic and put them on the wall of shame next to hitler","Heckler response: If a person gives a dirty suggestion, take a pic and put them on the wall of shame next to hitler. One button, one beat, back to material. The screen sells it; don't get dragged into a duel.","Single-button preset: visual + SFX fire together, auto-reset after ~4 seconds.","Hitler/antisemitism material: highest walk-out risk in the file; only survives as a clearly condemned punchline - know the room, maybe know the lawyer.","1) Heckler fires (SCREEN: neutral). 2) One-line acknowledgment. 3) BUTTON: preset fires (SCREEN: response visual + SFX) (LAUGH BREAK). 4) Auto/manual reset, immediately back to material - no duel.",1-button preset: visual + SFX + auto-reset (~4s).
,Mid,Bit,Music,G,No,"Roast and audience member... take a pic, put on screen, and then roast them (using face effects","Full bit: Roast and audience member... take a pic, put on screen, and then roast them (using face effects. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Audience-cam pass-through to head/rear screens; rehearse crop/freeze on a stand-in, keep latency under ~200ms. + Music cue stack: backing track + on-screen lyrics (bouncing ball where noted); lighting macro per song, out on the final sting.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Backing track (custom/licensed); lyric overlay template; bouncing-ball animation; song lighting macro; final sting SFX.
,Mid,Bit,Sketch,G,No,"Finish show with outtakes,  Mess up a punch line, say Goodnight Cleveland...","Developed bit: Finish show with outtakes, Mess up a punch line, say Goodnight Cleveland.... Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",Goo/slime overlay animation; splat SFX; cleanup note for real props.
,Mid,Bit,Sketch,G,No,Segue-  Have my 23 and me results show up then go thru them,"Full bit: Segue- Have my 23 and me results show up then go thru them. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Easy,Gag,Music,G,No,I saw a funny Jim Stafford video of him playing guitar in a shrinking spotlight  Referred to him as the Victor Borge of comedy,"Button gag: I saw a funny Jim Stafford video of him playing guitar in a shrinking spotlight Referred to him as the Victor Borge of comedy. Plays fast - the button fires the visual, the reaction shot lands it, move on.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app.",One beat maximum - gags die when they linger.,"1) Quick setup line (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",1 visual card/PNG or short clip + 1 SFX; bound to a single button.
,Easy,Dance break,Sketch,G,No,what does the fox say,"Set piece: What does the fox say. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Easy,Line,SciFi,G,No,"Like AI , AC is artificial comedy","One-liner: Like AI , AC is artificial comedy. Fire it as a quick hit between bits; flash a caption or stinger on the face to sell the beat, then keep moving.",Optional: flash the punchline as a lower-third caption after it lands. Delivery-only otherwise.,Delivery-only; adjust to room temperature on the fly.,"1) Setup line delivers the premise (SCREEN: neutral face). 2) Punchline - land it, don't step on it. 3) Optional: flash caption of the punchline (SCREEN: lower-third) (LAUGH BREAK). 4) Move on.",Optional punchline caption (lower-third PNG). Delivery-only otherwise.
,Mid,Bit,Music,G,No,"Let the audience vote for what’s next, ie joke or dance break","Developed bit: Let the audience vote for what’s next, ie joke or dance break. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Game-show package: scoreboard overlay, lock-in buzzer SFX, board graphics on rear screens; contestant buttons mirror the app.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,No,"Get infected by a virus, do some funny stuff","Developed bit: Get infected by a virus, do some funny stuff. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Easy,Device,Tech-Call,G,No,Call fans dead heads,"Tooling, not a bit on its own: Call fans dead heads. Build it into the control panel once and it quietly powers other rows; test in an empty room before relying on it live.","Fake-call UI overlay (FaceTime/Zoom style): ringtone SFX, answer/decline buttons, pre-recorded caller clips cut as clean answers on their own buttons.","Failure modes: test in an empty room, keep a manual fallback.","BUILD, not stage time. 1) Spec the feature. 2) Implement + unit-test in empty room. 3) Latency + failure-mode drill (SCREEN: n/a). 4) Document the button mapping. No laugh breaks - it powers other bits.",Control-panel config; latency/failure test checklist; manual fallback.
,Mid,Bit,Audience,G,No,"Roast me..  have someone come up,  Then the audience can do prewritten rosts from the app","Developed bit: Roast me.. have someone come up, Then the audience can do prewritten rosts from the app. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Mid,Bit,Sketch,G,y,Run jokes thru a lefty purity machine,"Developed bit: Run jokes thru a lefty purity machine. Structure: screen sells the premise, escalation beat, button ending. Give it 1-2 minutes max and a hard out.","Build as a macro: 2-4 button presses in sequence (premise visual, escalation, button ending). Manual fallback for each step.",Rehearse cue timing; keep a cut-away button if the room turns.,"1) SETUP: premise line (SCREEN: premise visual). 2) ESCALATE: 2-3 beats, each a screen change (SCREEN: beat cards/clips) with a laugh break after each. 3) TURN: the surprise beat (SCREEN: switcboard flip). 4) BUTTON ENDING: punchline + button visual (SCREEN: button card) - hold 3s. 5) Hard out, next bit.",3-5 graphics/clips + SFX pack; macro wiring; manual fallback for each beat.
,Easy,Gag,Visual,G,No,There is an NPC filter in the lens store,"Button gag: There is an NPC filter in the lens store. Plays fast - the button fires the visual, the reaction shot lands it, move on.","Face-filter stack: each filter on its own app button, cycle order rehearsed; camera-tracked filters need good front-light on the head.",One beat maximum - gags die when they linger.,"1) React to a real moment in the room (SCREEN: neutral). 2) BUTTON: visual fires (SCREEN: gag visual + SFX). 3) Reaction shot - hold (LAUGH BREAK 3-5s). 4) Reset face, move on.",Face-filter pack (list per bit); head-tracking calibration; front-light note.
